first_name,last_name,birth_date,weight_category,sex,cf,team,max_mu,max_pu,max_dip,max_sq
Diego,Vitale,1999-11-05,-80M,M,VTLDGI99S05L219L,UrbanAthletes,13,56,85,156
Alberto,Palermo,2001-07-17,-66M,M,PLRLRT01L17F839M,FlexGym,7,43,69,124
Jacopo,Leone,1996-03-01,-94M,M,LNOJCP96C01H501N,BarBrothers,17,62,95,179
Leonardo,Longo,2003-09-13,-87M,M,LNGLRD03P13F205O,StreetWarriors,14,57,86,163
Samuele,Gentile,2000-05-28,-59M,M,GNTMSL00E28L219P,CaliFlorence,5,39,63,108
Cristian,Marchetti,1998-01-10,-101M,M,MRCCRN98A10F839Q,IronChurch,19,65,98,186
Pietro,Serra,2002-09-24,-73M,M,SRRPTR02P24H501R,UrbanAthletes,10,50,76,141
Mattia,Grassi,1997-04-06,-80M,M,GRSMTT97D06F205S,FlexGym,12,54,83,153
Alessandro,Neri,2005-12-19,-66M,M,NRELSN05T19L219T,BarBrothers,8,45,70,126
Edoardo,Bernardi,1999-08-02,-94M,M,BRNDRR99M02F839U,StreetWarriors,16,61,93,176
Vincenzo,Martino,2001-02-16,-87M,M,MRTVNC01B16H501V,CaliFlorence,15,59,89,167
Manuel,De Rosa,2004-10-28,-59M,M,DRSMLN04R28F205W,IronChurch,6,40,64,110
Giacomo,Mariani,1996-06-12,-101M,M,MRNGCM96H12L219X,UrbanAthletes,18,64,96,184
Kevin,Orlando,2003-01-25,-73M,M,RLNKVN03A25F839Y,FlexGym,9,48,74,137
Alessio,Rizzo,2000-11-07,-80M,M,RZZLSS00S07H501Z,BarBrothers,13,55,85,155
Thomas,Farina,1998-07-21,-66M,M,FRNTMS98L21F205A,StreetWarriors,7,44,69,127
Davide,Basile,2002-03-04,-94M,M,BSLDVD02C04L219B,CaliFlorence,17,62,94,178
Christian,Sorrentino,1997-09-18,-87M,M,SRRCRS97P18F839C,IronChurch,14,58,87,164
Matteo,Battaglia,2005-05-30,-59M,M,BTTMTT05E30H501D,UrbanAthletes,5,38,62,106
Alex,Sanna,1999-12-14,-101M,M,SNNLXA99T14F205E,FlexGym,19,66,99,187
Simone,Pellegrini,2001-08-26,-73M,M,PLLSMN01M26L219F,BarBrothers,10,49,75,139
Luca,Villa,1996-02-09,-80M,M,VLLLCU96B09F839G,StreetWarriors,12,54,84,154
Mirko,Mazza,2004-10-23,-66M,M,MZZMRK04R23H501H,CaliFlorence,8,46,71,129
Dario,Riva,2000-06-05,-94M,M,RVRDRA00H05F205I,IronChurch,16,61,93,177
Francesco,Ferraro,1998-12-19,-87M,M,FRRFNC98T19L219J,UrbanAthletes,15,59,88,165
Giulio,Carbone,2003-08-01,-59M,M,CRBGLI03M01F839K,FlexGym,6,41,65,111
Simone,Giuliani,2001-04-17,-101M,M,GLNSMN01D17H501L,BarBrothers,18,65,97,185
Alessandro,Sala,1997-11-29,-73M,M,SLALSN97S29F205M,StreetWarriors,9,48,73,136
Marco,Benedetti,2002-07-13,-80M,M,BNDMRC02L13L219N,CaliFlorence,13,56,86,157
Enrico,Bianco,1999-03-28,-66M,M,BNCNRC99C28F839O,IronChurch,7,43,68,125
Samuele,D'Angelo,2005-09-10,-94M,M,DNGMSL05P10H501P,UrbanAthletes,17,63,95,180
Andrea,Testa,2000-01-24,-87M,M,TSTNDR00A24F205Q,FlexGym,14,57,86,163
Lorenzo,Parisi,1998-10-06,-59M,M,PRSLNZ98R06L219R,BarBrothers,5,39,63,107
Gabriele,Monti,2004-06-20,-101M,M,MNTGRL04H20F839S,StreetWarriors,19,66,98,188
Nicola,Fiore,2001-12-02,-73M,M,FRINCL01T02H501T,CaliFlorence,10,50,76,142
Francesco,Piras,1996-08-16,-80M,M,PRSFNC96M16F205U,IronChurch,12,55,84,153
Davide,Rossetti,2003-02-28,-66M,M,RSSDVD03B28L219V,UrbanAthletes,8,45,70,126
Michele,De Santis,2000-09-12,-94M,M,DSNMHL00P12F839W,FlexGym,16,61,94,176
Luca,Silvestri,1998-05-26,-87M,M,SLVLCU98E26H501X,BarBrothers,15,58,87,164
Mattia,Valentini,2002-11-08,-59M,M,VLNMTT02S08F205Y,StreetWarriors,6,40,64,109
Antonio,Rinaldi,1997-07-22,-101M,M,RNDNTN97L22L219Z,CaliFlorence,18,64,96,182
Stefano,Cattaneo,2005-03-04,-73M,M,CTTSFN05C04F839A,IronChurch,9,47,72,135
Riccardo,Pagano,1999-11-18,-80M,M,PGNRCD99S18H501B,UrbanAthletes,13,56,85,156
Fabio,Milani,2001-06-02,-66M,M,MLNFBA01H02F205C,FlexGym,7,44,69,127
Alessandro,Fabbri,1996-12-16,-94M,M,FBBLSN96T16L219D,BarBrothers,17,62,95,178
Marco,Rossini,2004-08-30,-87M,M,RSSMRC04M30F839E,StreetWarriors,14,57,86,162
Andrea,De Marco,2000-02-14,-59M,M,DMRNDR00B14H501F,CaliFlorence,5,38,62,105
Lorenzo,Valentino,1998-10-28,-101M,M,VLNLNZ98R28F205G,IronChurch,19,65,97,186
Emanuele,Palmieri,2003-06-10,-73M,M,PLMMNL03H10L219H,UrbanAthletes,10,49,74,138
Diego,Barbieri,2001-12-24,-80M,M,BRBDGI01T24F839I,FlexGym,12,54,83,152
Simone,Ferretti,1997-08-08,-66M,M,FRRSMN97M08H501J,BarBrothers,8,46,71,128
Filippo,Gatti,2002-04-22,-94M,M,GTTFLP02D22F205K,StreetWarriors,16,61,93,177
Giuseppe,Bellini,1999-11-04,-87M,M,BLLGPP99S04L219L,CaliFlorence,15,59,88,165
Tommaso,Ruggiero,2005-07-20,-59M,M,RGGTMS05L20F839M,IronChurch,6,41,65,111
Federico,Sartori,2000-01-02,-101M,M,SRTFRC00A02H501N,UrbanAthletes,18,64,96,183
Nicola,Colombi,1998-09-16,-73M,M,CLMNCL98P16F205O,FlexGym,9,48,73,136
Pietro,Costantini,2004-05-30,-80M,M,CSTPTR04E30L219P,BarBrothers,13,55,84,154
Alessandro,Marini,2001-10-14,-66M,M,MRNLSN01R14F839Q,StreetWarriors,7,43,68,124
Matteo,Galli,1996-06-28,-94M,M,GLLMTT96H28H501R,CaliFlorence,17,62,94,179
Leonardo,Marchesini,2003-12-10,-87M,M,MRCLRD03T10F205S,IronChurch,14,58,87,163
Giacomo,Vitali,2000-08-24,-59M,M,VTLGCM00M24L219T,UrbanAthletes,5,39,63,108
Cristian,De Angelis,1998-03-08,-101M,M,DNGCRS98C08F839U,FlexGym,19,66,99,188
Davide,Lombardo,2002-11-22,-73M,M,LMBDVD02S22H501V,BarBrothers,10,50,76,141
Marco,Fontanella,1997-05-06,-80M,M,FNTMRC97E06F205W,StreetWarriors,12,54,83,153
Alessio,Pellegrino,2005-01-20,-66M,M,PLLLSS05A20L219X,CaliFlorence,8,45,70,126
Giulio,Bassi,1999-10-04,-94M,M,BSSGLI99R04F839Y,IronChurch,16,61,93,176
Chiara,Rossi,2002-03-12,-57F,F,RSSCHR02C12H501Z,CaliFlorence,8,35,55,95
Sofia,Bianchi,2000-07-25,-63F,F,BNCSFR00L25F205A,IronChurch,10,40,60,105
Giulia,Ferrari,1998-11-08,-70F,F,FRRGLI98S08L219B,UrbanAthletes,12,45,65,115
Martina,Romano,2003-01-15,-52F,F,RMNMTN03A15D612C,StreetWarriors,6,30,50,85
Francesca,Esposito,1997-05-28,-63F,F,SPSFNC97E28F839D,CaliFlorence,9,38,58,100
Elena,Colombo,2001-09-10,-57F,F,CLMLNE01P10L219E,FlexGym,7,33,53,90
Alessia,Ricci,1999-12-22,-70F,F,RCCLSS99T22H501F,IronChurch,11,43,63,110
Valentina,Marino,2004-04-05,+70F,F,MRNVNT04D05F205G,BarBrothers,13,48,68,120
Sara,Greco,1996-08-18,-63F,F,GRCSRA96M18L219H,UrbanAthletes,10,39,59,102
Laura,Bruno,2002-02-28,-52F,F,BRNLRA02B28F839I,StreetWarriors,5,28,48,82
Jessica,Gallo,2000-10-11,-57F,F,GLLJSC00R11H501J,CaliFlorence,8,34,54,93
Federica,Conti,1998-06-24,-70F,F,CNTFRC98H24F205K,IronChurch,12,44,64,112
Alice,De Luca,2005-01-07,-63F,F,DLCLCA05A07L219L,FlexGym,9,37,57,98
Silvia,Costa,2001-11-19,-52F,F,CSTSLV01S19F839M,BarBrothers,6,31,51,87
Elisa,Mancini,1997-07-03,-57F,F,MNCLSE97L03H501N,UrbanAthletes,7,32,52,88
Camilla,Ferri,2003-03-16,+70F,F,FRRCML03C16F205O,StreetWarriors,14,49,69,125
Serena,Barbieri,1999-09-30,-70F,F,BRBSRN99P30L219P,CaliFlorence,11,42,62,108
Arianna,Martini,2004-05-13,-63F,F,MRTRNN04E13F839Q,IronChurch,10,40,60,104
Anna,Lombardi,2000-11-27,-52F,F,LMBNNA00S27H501R,UrbanAthletes,5,29,49,84
Beatrice,Moretti,1998-02-09,-57F,F,MRTBTR98B09F205S,FlexGym,8,35,55,96
Veronica,Fontana,2002-10-23,+70F,F,FNTVNC02R23L219T,BarBrothers,13,47,67,118
